index,title,group,tagger,tag,lowercase_word,N
2,Descartes,0,perceptron,.,",",8350
3,Descartes,0,perceptron,.,.,3898
0,Descartes,0,perceptron,.,(,1094
1,Descartes,0,perceptron,.,),1093
4,Descartes,0,perceptron,.,:,745
5,Descartes,0,perceptron,.,;,607
6,Descartes,0,perceptron,.,?,194
13,Descartes,0,perceptron,.,’,3
10,Descartes,0,perceptron,.,xi,2
7,Descartes,0,perceptron,.,beliefs,1
7608,Descartes,0,spacy,.,",",8350
7610,Descartes,0,spacy,.,.,3881
7604,Descartes,0,spacy,.,(,1086
7605,Descartes,0,spacy,.,),1057
7620,Descartes,0,spacy,.,‘,888
7621,Descartes,0,spacy,.,’,872
7611,Descartes,0,spacy,.,:,715
7612,Descartes,0,spacy,.,;,605
7619,Descartes,0,spacy,.,–,391
7609,Descartes,0,spacy,.,-,356
14644,Descartes,0,stanford,.,",",8350
14645,Descartes,0,stanford,.,.,3791
14642,Descartes,0,stanford,.,(,1094
14643,Descartes,0,stanford,.,),1093
14653,Descartes,0,stanford,.,’,894
14652,Descartes,0,stanford,.,‘,888
14646,Descartes,0,stanford,.,:,745
14647,Descartes,0,stanford,.,;,607
14648,Descartes,0,stanford,.,?,194
14651,Descartes,0,stanford,.,–,59
1166,Descartes,0,perceptron,ADJ,true,284
1306,Descartes,0,perceptron,ADJ,‘,170
135,Descartes,0,perceptron,ADJ,certain,165
144,Descartes,0,perceptron,ADJ,clear,149
844,Descartes,0,perceptron,ADJ,physical,134
820,Descartes,0,perceptron,ADJ,particular,132
410,Descartes,0,perceptron,ADJ,first,123
860,Descartes,0,perceptron,ADJ,possible,113
440,Descartes,0,perceptron,ADJ,general,112
262,Descartes,0,perceptron,ADJ,different,109
8622,Descartes,0,spacy,ADJ,true,284
7731,Descartes,0,spacy,ADJ,certain,165
7740,Descartes,0,spacy,ADJ,clear,150
8323,Descartes,0,spacy,ADJ,particular,137
7978,Descartes,0,spacy,ADJ,first,135
8345,Descartes,0,spacy,ADJ,physical,134
8362,Descartes,0,spacy,ADJ,possible,114
8005,Descartes,0,spacy,ADJ,general,112
7842,Descartes,0,spacy,ADJ,different,109
8191,Descartes,0,spacy,ADJ,least,97
15643,Descartes,0,stanford,ADJ,true,286
14762,Descartes,0,stanford,ADJ,certain,165
14771,Descartes,0,stanford,ADJ,clear,153
14999,Descartes,0,stanford,ADJ,first,139
15360,Descartes,0,stanford,ADJ,particular,138
15380,Descartes,0,stanford,ADJ,physical,134
15443,Descartes,0,stanford,ADJ,pure,126
15396,Descartes,0,stanford,ADJ,possible,114
15021,Descartes,0,stanford,ADJ,general,112
14873,Descartes,0,stanford,ADJ,different,109
1345,Descartes,0,perceptron,ADP,since,136
1347,Descartes,0,perceptron,ADP,though,126
1360,Descartes,0,perceptron,ADP,whether,124
1362,Descartes,0,perceptron,ADP,without,105
1330,Descartes,0,perceptron,ADP,like,57
1361,Descartes,0,perceptron,ADP,within,31
1316,Descartes,0,perceptron,ADP,among,29
1326,Descartes,0,perceptron,ADP,except,29
1353,Descartes,0,perceptron,ADP,unless,29
1314,Descartes,0,perceptron,ADP,although,25
8760,Descartes,0,spacy,ADP,without,105
8748,Descartes,0,spacy,ADP,like,56
8759,Descartes,0,spacy,ADP,within,31
8737,Descartes,0,spacy,ADP,among,29
8752,Descartes,0,spacy,ADP,outside,20
8757,Descartes,0,spacy,ADP,unlike,20
8743,Descartes,0,spacy,ADP,beyond,15
8755,Descartes,0,spacy,ADP,towards,9
8749,Descartes,0,spacy,ADP,near,8
8758,Descartes,0,spacy,ADP,via,6
15781,Descartes,0,stanford,ADP,since,136
15793,Descartes,0,stanford,ADP,whether,124
15783,Descartes,0,stanford,ADP,though,116
15795,Descartes,0,stanford,ADP,without,105
15774,Descartes,0,stanford,ADP,like,52
15794,Descartes,0,stanford,ADP,within,31
15771,Descartes,0,stanford,ADP,except,30
15762,Descartes,0,stanford,ADP,among,29
15787,Descartes,0,stanford,ADP,unless,29
15760,Descartes,0,stanford,ADP,although,25
1499,Descartes,0,perceptron,ADV,even,192
1385,Descartes,0,perceptron,ADV,also,166
1552,Descartes,0,perceptron,ADV,however,134
1709,Descartes,0,perceptron,ADV,rather,125
1624,Descartes,0,perceptron,ADV,merely,122
1430,Descartes,0,perceptron,ADV,clearly,112
1384,Descartes,0,perceptron,ADV,already,107
1573,Descartes,0,perceptron,ADV,indeed,94
1673,Descartes,0,perceptron,ADV,perhaps,80
1713,Descartes,0,perceptron,ADV,really,78
8896,Descartes,0,spacy,ADV,even,193
8781,Descartes,0,spacy,ADV,also,166
8953,Descartes,0,spacy,ADV,however,134
9108,Descartes,0,spacy,ADV,rather,126
9027,Descartes,0,spacy,ADV,merely,122
8820,Descartes,0,spacy,ADV,clearly,112
8780,Descartes,0,spacy,ADV,already,107
8972,Descartes,0,spacy,ADV,indeed,94
9072,Descartes,0,spacy,ADV,perhaps,80
9112,Descartes,0,spacy,ADV,really,78
15926,Descartes,0,stanford,ADV,even,193
15815,Descartes,0,stanford,ADV,also,166
15981,Descartes,0,stanford,ADV,however,134
16134,Descartes,0,stanford,ADV,rather,126
16051,Descartes,0,stanford,ADV,merely,122
15852,Descartes,0,stanford,ADV,clearly,112
15814,Descartes,0,stanford,ADV,already,107
15999,Descartes,0,stanford,ADV,indeed,94
16035,Descartes,0,stanford,ADV,least,81
16098,Descartes,0,stanford,ADV,perhaps,80
1851,Descartes,0,perceptron,CONJ,either,23
1858,Descartes,0,perceptron,CONJ,yet,10
1860,Descartes,0,perceptron,CONJ,‘,4
1855,Descartes,0,perceptron,CONJ,moreover,3
1856,Descartes,0,perceptron,CONJ,neither,2
1861,Descartes,0,perceptron,CONJ,’,2
1850,Descartes,0,perceptron,CONJ,],1
1852,Descartes,0,perceptron,CONJ,enquiry,1
1853,Descartes,0,perceptron,CONJ,et,1
1854,Descartes,0,perceptron,CONJ,less,1
9248,Descartes,0,spacy,CONJ,since,136
9249,Descartes,0,spacy,CONJ,though,125
9256,Descartes,0,spacy,CONJ,whether,124
9242,Descartes,0,spacy,CONJ,either,33
9243,Descartes,0,spacy,CONJ,except,30
9251,Descartes,0,spacy,CONJ,unless,29
9239,Descartes,0,spacy,CONJ,although,25
9257,Descartes,0,spacy,CONJ,yet,21
9254,Descartes,0,spacy,CONJ,whereas,13
9241,Descartes,0,spacy,CONJ,despite,9
16266,Descartes,0,stanford,CONJ,either,40
16269,Descartes,0,stanford,CONJ,yet,22
16267,Descartes,0,stanford,CONJ,neither,8
16268,Descartes,0,stanford,CONJ,plus,1
1862,Descartes,0,perceptron,DET,another,99
1864,Descartes,0,perceptron,DET,every,30
1871,Descartes,0,perceptron,DET,whatever,18
1863,Descartes,0,perceptron,DET,either,14
1873,Descartes,0,perceptron,DET,‘,8
1867,Descartes,0,perceptron,DET,neither,6
1874,Descartes,0,perceptron,DET,’,4
1869,Descartes,0,perceptron,DET,see,2
1872,Descartes,0,perceptron,DET,–,2
1865,Descartes,0,perceptron,DET,everyday,1
9258,Descartes,0,spacy,DET,another,65
9267,Descartes,0,spacy,DET,whose,33
9260,Descartes,0,spacy,DET,every,29
9263,Descartes,0,spacy,DET,quite,6
9265,Descartes,0,spacy,DET,whatever,6
9259,Descartes,0,spacy,DET,either,4
9262,Descartes,0,spacy,DET,not-,2
